symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,85884.333,9757516606.095901,19900990.00000000,2025-08-03 10:00:00+00:00
BTCUSDT,85951.591,9785304346.414448,19900990.00000000,2025-08-03 11:00:00+00:00
BTCUSDT,86111.878,9800818117.721088,19900990.00000000,2025-08-03 12:00:00+00:00
BTCUSDT,86148.068,9817920767.500643,19900990.00000000,2025-08-03 13:00:00+00:00
BTCUSDT,86062.955,9802303779.3395,19900990.00000000,2025-08-03 14:00:00+00:00
BTCUSDT,86032.304,9785620509.207556,19900990.00000000,2025-08-03 15:00:00+00:00
BTCUSDT,85987.366,9794422722.544538,19900990.00000000,2025-08-03 16:00:00+00:00
BTCUSDT,85889.563,9787132881.7626,19900990.00000000,2025-08-03 17:00:00+00:00
BTCUSDT,85876.099,9795792149.2211,19900990.00000000,2025-08-03 18:00:00+00:00
BTCUSDT,85833.487,9813205235.1308,19900990.00000000,2025-08-03 19:00:00+00:00
BTCUSDT,85477.847,9766621868.1577,19900990.00000000,2025-08-03 20:00:00+00:00
BTCUSDT,85348.818,9761924686.6224,19900990.00000000,2025-08-03 21:00:00+00:00
BTCUSDT,85298.268,9756313535.9184,19900990.00000000,2025-08-03 22:00:00+00:00
BTCUSDT,85155.658,9730836467.529757,19900990.00000000,2025-08-03 23:00:00+00:00
BTCUSDT,85207.636,9726528336.2724,19900990.00000000,2025-08-04 00:00:00+00:00
BTCUSDT,84968.15,9759033861.88,19900990.00000000,2025-08-04 01:00:00+00:00
BTCUSDT,85056.829,9750727751.5362,19900990.00000000,2025-08-04 02:00:00+00:00
BTCUSDT,85252.484,9783660125.123993,19901484.00000000,2025-08-04 03:00:00+00:00
BTCUSDT,85227.383,9760607904.121658,19901484.00000000,2025-08-04 04:00:00+00:00
BTCUSDT,85066.332,9726226077.2377,19901484.00000000,2025-08-04 05:00:00+00:00
BTCUSDT,84884.246,9706045136.985191,19901484.00000000,2025-08-04 06:00:00+00:00
BTCUSDT,84872.732,9707321847.722778,19901484.00000000,2025-08-04 07:00:00+00:00
BTCUSDT,84995.356,9741062765.092,19901484.00000000,2025-08-04 08:00:00+00:00
BTCUSDT,85146.312,9748690758.3408,19901484.00000000,2025-08-04 09:00:00+00:00
BTCUSDT,85207.67,9736936073.91,19901484.00000000,2025-08-04 10:00:00+00:00
BTCUSDT,85215.501,9731843248.646248,19901484.00000000,2025-08-04 11:00:00+00:00
BTCUSDT,85125.166,9742824900.147743,19901484.00000000,2025-08-04 12:00:00+00:00
BTCUSDT,85095.819,9734920746.478157,19901484.00000000,2025-08-04 13:00:00+00:00
BTCUSDT,84939.376,9757166760.398163,19901484.00000000,2025-08-04 14:00:00+00:00
BTCUSDT,84961.537,9743924320.843102,19901484.00000000,2025-08-04 15:00:00+00:00
BTCUSDT,84931.483,9747979333.887089,19901484.00000000,2025-08-04 16:00:00+00:00
BTCUSDT,85433.483,9846490846.2439,19901484.00000000,2025-08-04 17:00:00+00:00
BTCUSDT,85272.313,9819430876.7394,19901484.00000000,2025-08-04 18:00:00+00:00
BTCUSDT,85427.853,9818310130.034866,19901484.00000000,2025-08-04 19:00:00+00:00
BTCUSDT,85482.565,9807420044.002813,19901484.00000000,2025-08-04 20:00:00+00:00
BTCUSDT,85194.839,9776541391.360718,19901484.00000000,2025-08-04 21:00:00+00:00
BTCUSDT,84999.931,9780253560.728899,19901484.00000000,2025-08-04 22:00:00+00:00
BTCUSDT,85006.872,9799949233.0224,19901484.00000000,2025-08-04 23:00:00+00:00
BTCUSDT,84829.515,9755572366.9815,19901484.00000000,2025-08-05 00:00:00+00:00
BTCUSDT,84657.537,9721859905.237501,19901484.00000000,2025-08-05 01:00:00+00:00
BTCUSDT,84535.045,9693456086.5555,19901484.00000000,2025-08-05 02:00:00+00:00
BTCUSDT,84493.979,9689686749.561699,19902018.00000000,2025-08-05 03:00:00+00:00
BTCUSDT,84244.055,9621934741.825,19902018.00000000,2025-08-05 04:00:00+00:00
BTCUSDT,83996.556,9599858572.008205,19902018.00000000,2025-08-05 05:00:00+00:00
BTCUSDT,83984.33,9605615360.987,19902018.00000000,2025-08-05 06:00:00+00:00
BTCUSDT,84094.898,9598166768.857544,19902018.00000000,2025-08-05 07:00:00+00:00
BTCUSDT,84402.837,9615567884.373901,19902018.00000000,2025-08-05 08:00:00+00:00
BTCUSDT,84461.01,9648848262.493437,19902018.00000000,2025-08-05 09:00:00+00:00
BTCUSDT,84506.474,9687608921.761347,19902018.00000000,2025-08-05 10:00:00+00:00
BTCUSDT,84821.992,9737530752.8032,19902018.00000000,2025-08-05 11:00:00+00:00
BTCUSDT,84781.021,9731453451.742584,19902018.00000000,2025-08-05 12:00:00+00:00
BTCUSDT,84641.651,9640421659.7819,19902018.00000000,2025-08-05 13:00:00+00:00
BTCUSDT,84842.757,9700128176.552614,19902018.00000000,2025-08-05 14:00:00+00:00
BTCUSDT,85042.044,9608194847.412895,19902018.00000000,2025-08-05 15:00:00+00:00
BTCUSDT,85459.376,9647752223.04701,19902018.00000000,2025-08-05 16:00:00+00:00
BTCUSDT,85548.59,9678085139.940723,19902018.00000000,2025-08-05 17:00:00+00:00
BTCUSDT,85048.082,9661368581.106276,19902018.00000000,2025-08-05 18:00:00+00:00
BTCUSDT,85011.544,9656971352.224,19902018.00000000,2025-08-05 19:00:00+00:00
BTCUSDT,84949.906,9648040035.677876,19902018.00000000,2025-08-05 20:00:00+00:00
BTCUSDT,84409.983,9593194567.95,19902018.00000000,2025-08-05 21:00:00+00:00
BTCUSDT,84383.44,9581293538.817583,19902018.00000000,2025-08-05 22:00:00+00:00
BTCUSDT,84208.439,9592174865.6461,19902018.00000000,2025-08-05 23:00:00+00:00
BTCUSDT,83848.531,9565232667.16235,19902018.00000000,2025-08-06 00:00:00+00:00
BTCUSDT,83773.935,9536482870.169138,19902018.00000000,2025-08-06 01:00:00+00:00
BTCUSDT,83905.089,9547467056.054745,19902450.00000000,2025-08-06 02:00:00+00:00
BTCUSDT,83788.57,9517434741.159,19902450.00000000,2025-08-06 03:00:00+00:00
BTCUSDT,83797.331,9508491528.3031,19902450.00000000,2025-08-06 04:00:00+00:00
BTCUSDT,83937.172,9517933252.831848,19902450.00000000,2025-08-06 05:00:00+00:00
BTCUSDT,83683.857,9549022659.7131,19902450.00000000,2025-08-06 06:00:00+00:00
BTCUSDT,83694.504,9544705364.0688,19902450.00000000,2025-08-06 07:00:00+00:00
BTCUSDT,83905.938,9580422163.24829,19902450.00000000,2025-08-06 08:00:00+00:00
BTCUSDT,83510.271,9511828217.927101,19902450.00000000,2025-08-06 09:00:00+00:00
BTCUSDT,83713.564,9547490117.418,19902450.00000000,2025-08-06 10:00:00+00:00
BTCUSDT,83545.385,9526658465.95715,19902450.00000000,2025-08-06 11:00:00+00:00
BTCUSDT,83336.835,9516087589.438845,19902450.00000000,2025-08-06 12:00:00+00:00
BTCUSDT,83216.882,9475623415.9412,19902450.00000000,2025-08-06 13:00:00+00:00
BTCUSDT,83788.45,9571311333.42232,19902450.00000000,2025-08-06 14:00:00+00:00
BTCUSDT,83695.192,9637020292.785862,19902450.00000000,2025-08-06 15:00:00+00:00
BTCUSDT,83846.735,9675061636.461096,19902450.00000000,2025-08-06 16:00:00+00:00
BTCUSDT,83841.768,9649223316.468,19902450.00000000,2025-08-06 17:00:00+00:00
BTCUSDT,83830.61,9679543298.955,19902450.00000000,2025-08-06 18:00:00+00:00
BTCUSDT,84216.468,9716570497.954151,19902450.00000000,2025-08-06 19:00:00+00:00
BTCUSDT,84097.652,9689512588.543741,19902450.00000000,2025-08-06 20:00:00+00:00
BTCUSDT,83912.075,9651101943.191805,19902450.00000000,2025-08-06 21:00:00+00:00
BTCUSDT,83778.064,9635348651.8656,19902450.00000000,2025-08-06 22:00:00+00:00
BTCUSDT,83757.288,9635966082.4344,19902450.00000000,2025-08-06 23:00:00+00:00
BTCUSDT,83762.857,9628139769.534996,19902450.00000000,2025-08-07 00:00:00+00:00
BTCUSDT,83714.128,9614462039.825315,19902450.00000000,2025-08-07 01:00:00+00:00
BTCUSDT,83617.588,9591356983.002468,19902450.00000000,2025-08-07 02:00:00+00:00
BTCUSDT,83511.302,9564058026.630745,19902881.00000000,2025-08-07 03:00:00+00:00
BTCUSDT,83419.443,9551592959.0544,19902881.00000000,2025-08-07 04:00:00+00:00
BTCUSDT,83348.613,9527616517.519106,19902881.00000000,2025-08-07 05:00:00+00:00
BTCUSDT,82949.246,9500168849.4554,19902881.00000000,2025-08-07 06:00:00+00:00
BTCUSDT,83072.593,9520368375.579,19902881.00000000,2025-08-07 07:00:00+00:00
BTCUSDT,83235.512,9551349913.9608,19902881.00000000,2025-08-07 08:00:00+00:00
BTCUSDT,83617.579,9608771940.900702,19902881.00000000,2025-08-07 09:00:00+00:00
BTCUSDT,83813.204,9640236630.682,19902881.00000000,2025-08-07 10:00:00+00:00
BTCUSDT,84792.923,9861525075.846409,19902881.00000000,2025-08-07 11:00:00+00:00
BTCUSDT,84804.341,9877076791.929,19902881.00000000,2025-08-07 12:00:00+00:00
BTCUSDT,84508.548,9830355435.8424,19902881.00000000,2025-08-07 13:00:00+00:00
BTCUSDT,84749.316,9880583755.176,19902881.00000000,2025-08-07 14:00:00+00:00
BTCUSDT,84747.439,9856127155.7,19902881.00000000,2025-08-07 15:00:00+00:00
BTCUSDT,85069.535,9922051186.911,19902881.00000000,2025-08-07 16:00:00+00:00
BTCUSDT,84360.97,9803158082.753,19902881.00000000,2025-08-07 17:00:00+00:00
BTCUSDT,84240.944,9810699122.85041,19902881.00000000,2025-08-07 18:00:00+00:00
BTCUSDT,84088.823,9798447871.37054,19902881.00000000,2025-08-07 19:00:00+00:00
BTCUSDT,83216.198,9771037928.665,19902881.00000000,2025-08-07 20:00:00+00:00
BTCUSDT,83389.77,9766815751.74213,19902881.00000000,2025-08-07 21:00:00+00:00
BTCUSDT,83269.117,9746076925.452892,19902881.00000000,2025-08-07 22:00:00+00:00
BTCUSDT,83116.525,9766199999.1525,19902881.00000000,2025-08-07 23:00:00+00:00
BTCUSDT,82983.91,9743962413.809,19902881.00000000,2025-08-08 00:00:00+00:00
BTCUSDT,82993.22,9728793400.825716,19902881.00000000,2025-08-08 01:00:00+00:00
BTCUSDT,82992.428,9697092564.0468,19903403.00000000,2025-08-08 02:00:00+00:00
BTCUSDT,82985.796,9680625046.584,19903403.00000000,2025-08-08 03:00:00+00:00
BTCUSDT,83063.444,9692871997.536627,19903403.00000000,2025-08-08 04:00:00+00:00
BTCUSDT,83177.441,9706807364.7,19903403.00000000,2025-08-08 05:00:00+00:00
BTCUSDT,83013.619,9669966059.739122,19903403.00000000,2025-08-08 06:00:00+00:00
BTCUSDT,82921.468,9676445978.050735,19903403.00000000,2025-08-08 07:00:00+00:00
BTCUSDT,83151.416,9709898836.739338,19903403.00000000,2025-08-08 08:00:00+00:00
BTCUSDT,83188.298,9697296154.092934,19903403.00000000,2025-08-08 09:00:00+00:00
BTCUSDT,83265.073,9711113872.409698,19903403.00000000,2025-08-08 10:00:00+00:00
BTCUSDT,83278.914,9702024598.85993,19903403.00000000,2025-08-08 11:00:00+00:00
BTCUSDT,83279.5,9730748239.188082,19903403.00000000,2025-08-08 12:00:00+00:00
BTCUSDT,83289.411,9699076897.773298,19903403.00000000,2025-08-08 13:00:00+00:00
BTCUSDT,83051.708,9705927951.642803,19903403.00000000,2025-08-08 14:00:00+00:00
BTCUSDT,83781.177,9755622677.8809,19903403.00000000,2025-08-08 15:00:00+00:00
BTCUSDT,83078.157,9651311673.77412,19903403.00000000,2025-08-08 16:00:00+00:00
BTCUSDT,83275.305,9671852076.1455,19903403.00000000,2025-08-08 17:00:00+00:00
BTCUSDT,83339.873,9722929623.418,19903403.00000000,2025-08-08 18:00:00+00:00
BTCUSDT,82765.091,9637674672.264591,19903403.00000000,2025-08-08 19:00:00+00:00
BTCUSDT,82399.896,9590718205.038364,19903403.00000000,2025-08-08 20:00:00+00:00
