symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.5279,1.1182,0.4721,2025-07-31 04:00:00+00:00
BTCUSDT,0.5238,1.1,0.4762,2025-07-31 05:00:00+00:00
BTCUSDT,0.5216,1.0903,0.4784,2025-07-31 06:00:00+00:00
BTCUSDT,0.5193,1.0803,0.4807,2025-07-31 07:00:00+00:00
BTCUSDT,0.5119,1.0488,0.4881,2025-07-31 08:00:00+00:00
BTCUSDT,0.511,1.045,0.489,2025-07-31 09:00:00+00:00
BTCUSDT,0.51,1.0408,0.49,2025-07-31 10:00:00+00:00
BTCUSDT,0.508,1.0325,0.492,2025-07-31 11:00:00+00:00
BTCUSDT,0.5067,1.0272,0.4933,2025-07-31 12:00:00+00:00
BTCUSDT,0.5065,1.0263,0.4935,2025-07-31 13:00:00+00:00
BTCUSDT,0.507,1.0284,0.493,2025-07-31 14:00:00+00:00
BTCUSDT,0.5131,1.0538,0.4869,2025-07-31 15:00:00+00:00
BTCUSDT,0.515,1.0619,0.485,2025-07-31 16:00:00+00:00
BTCUSDT,0.508,1.0325,0.492,2025-07-31 17:00:00+00:00
BTCUSDT,0.5189,1.0786,0.4811,2025-07-31 18:00:00+00:00
BTCUSDT,0.5271,1.1146,0.4729,2025-07-31 19:00:00+00:00
BTCUSDT,0.5431,1.1887,0.4569,2025-07-31 20:00:00+00:00
BTCUSDT,0.5388,1.1683,0.4612,2025-07-31 21:00:00+00:00
BTCUSDT,0.5462,1.2036,0.4538,2025-07-31 22:00:00+00:00
BTCUSDT,0.5553,1.2487,0.4447,2025-07-31 23:00:00+00:00
BTCUSDT,0.5595,1.2701,0.4405,2025-08-01 00:00:00+00:00
BTCUSDT,0.5681,1.3154,0.4319,2025-08-01 01:00:00+00:00
BTCUSDT,0.5781,1.3702,0.4219,2025-08-01 02:00:00+00:00
BTCUSDT,0.5687,1.3186,0.4313,2025-08-01 03:00:00+00:00
BTCUSDT,0.5688,1.3191,0.4312,2025-08-01 04:00:00+00:00
BTCUSDT,0.5708,1.3299,0.4292,2025-08-01 05:00:00+00:00
BTCUSDT,0.5707,1.3294,0.4293,2025-08-01 06:00:00+00:00
BTCUSDT,0.5715,1.3337,0.4285,2025-08-01 07:00:00+00:00
BTCUSDT,0.5748,1.3518,0.4252,2025-08-01 08:00:00+00:00
BTCUSDT,0.5823,1.3941,0.4177,2025-08-01 09:00:00+00:00
BTCUSDT,0.5835,1.401,0.4165,2025-08-01 10:00:00+00:00
BTCUSDT,0.5854,1.412,0.4146,2025-08-01 11:00:00+00:00
BTCUSDT,0.5853,1.4114,0.4147,2025-08-01 12:00:00+00:00
BTCUSDT,0.5808,1.3855,0.4192,2025-08-01 13:00:00+00:00
BTCUSDT,0.5842,1.405,0.4158,2025-08-01 14:00:00+00:00
BTCUSDT,0.5823,1.3941,0.4177,2025-08-01 15:00:00+00:00
BTCUSDT,0.5743,1.3491,0.4257,2025-08-01 16:00:00+00:00
BTCUSDT,0.5713,1.3326,0.4287,2025-08-01 17:00:00+00:00
BTCUSDT,0.5778,1.3685,0.4222,2025-08-01 18:00:00+00:00
BTCUSDT,0.5886,1.4307,0.4114,2025-08-01 19:00:00+00:00
BTCUSDT,0.5982,1.4888,0.4018,2025-08-01 20:00:00+00:00
BTCUSDT,0.5996,1.4975,0.4004,2025-08-01 21:00:00+00:00
BTCUSDT,0.6005,1.5031,0.3995,2025-08-01 22:00:00+00:00
BTCUSDT,0.6028,1.5176,0.3972,2025-08-01 23:00:00+00:00
BTCUSDT,0.6062,1.5394,0.3938,2025-08-02 00:00:00+00:00
BTCUSDT,0.6072,1.5458,0.3928,2025-08-02 01:00:00+00:00
BTCUSDT,0.6076,1.5484,0.3924,2025-08-02 02:00:00+00:00
BTCUSDT,0.5995,1.4969,0.4005,2025-08-02 03:00:00+00:00
BTCUSDT,0.5984,1.49,0.4016,2025-08-02 04:00:00+00:00
BTCUSDT,0.598,1.4876,0.402,2025-08-02 05:00:00+00:00
BTCUSDT,0.5951,1.4697,0.4049,2025-08-02 06:00:00+00:00
BTCUSDT,0.5916,1.4486,0.4084,2025-08-02 07:00:00+00:00
BTCUSDT,0.5921,1.4516,0.4079,2025-08-02 08:00:00+00:00
BTCUSDT,0.5904,1.4414,0.4096,2025-08-02 09:00:00+00:00
BTCUSDT,0.5927,1.4552,0.4073,2025-08-02 10:00:00+00:00
BTCUSDT,0.593,1.457,0.407,2025-08-02 11:00:00+00:00
BTCUSDT,0.5914,1.4474,0.4086,2025-08-02 12:00:00+00:00
BTCUSDT,0.5928,1.4558,0.4072,2025-08-02 13:00:00+00:00
BTCUSDT,0.597,1.4814,0.403,2025-08-02 14:00:00+00:00
BTCUSDT,0.5978,1.4863,0.4022,2025-08-02 15:00:00+00:00
BTCUSDT,0.597,1.4814,0.403,2025-08-02 16:00:00+00:00
BTCUSDT,0.5969,1.4808,0.4031,2025-08-02 17:00:00+00:00
BTCUSDT,0.595,1.4691,0.405,2025-08-02 18:00:00+00:00
BTCUSDT,0.6022,1.5138,0.3978,2025-08-02 19:00:00+00:00
BTCUSDT,0.6017,1.5107,0.3983,2025-08-02 20:00:00+00:00
BTCUSDT,0.6043,1.5272,0.3957,2025-08-02 21:00:00+00:00
